,Prompt,GT
430,"What is the general advice for determining legitimacy while encountering an unknown, unsolicited e-mail? **Options:** A) Check the address in the 'To' line B) Verify the phone number provided in the e-mail C) Be aware of who sent the e-mail D) All of the above",D
431,What is a common technique used to capture card details for a service denial attack on payment systems? **Options:** A) Cyber-espionage B) Capturing card details from a genuine terminal or cable bug C) Phishing D) Brute force attack,B
432,Which of the following is a suitable method for encrypting a message using RSA? **Options:** A) RSA-KEM-DEM B) RSA-OAEP C) RSA-PASS D) RSA-KEM,B
433,Which encryption mode provides confidentiality and authenticity by combining encryption and authentication? **Options:** A) Electronic CodeBook mode B) XOR mode C) Counter mode D) GCM (Galois/Counter Mode)e,D
434,The P1363 Standard Specifications are related to which area of computer network security? **Options:** A) Electronic Data Exchange B) Interconnection C) Financial standards D) Public-Key Cryptography,D
435,What is the primary purpose of steganography? **Options:** A) To perform secure key exchange. B) To increase the complexity of the encryption process. C) To hide the existence of a message. D) To provide authentication in communication.,C
436,What is the characteristic of a weak key in DES? **Options:** A) It results in an invertible transformation B) It has a long key length C) It results in internal keys with special regularity D) It is designed to use the key bits in a uniform manner,C
437,"What testing method performs run-time verification of compiled or packaged software, checking functionality that is only apparent when all components are integrated and running? **Options:** A) Perform Threat Modelling B) Perform Penetration Testing C) Perform Dynamic Analysis Security Testing (DAST) D) Perform Static Analysis Security Testing (SAST)",C
438,What type of attack aims to take an application out of service so legitimate users can't use it? **Options:** A) Command Injection B) Denial-of-Service C) SQL Injection D) Directory or File Traversal,B
439,Which technology can be used to detect and prevent phishing attacks? **Options:** A) Strong password policies B) Web-based email clients C) Intrusion detection systems D) Inbound spam filters,D
440,What is the main purpose of steganography in cybersecurity? **Options:** A) Preventing unauthorized access to a network B) Encrypting sensitive data during transmission C) Hiding the existence of secret information D) Detecting and eliminating malware,C
441,Which of the following is a detective control when not used in real time? **Options:** A) Fences B) CCTV C) Locks D) Alarms,D
442,What is the ultimate goal of good security engineering? **Options:** A) To develop mechanisms that secure electronic records and transactions from unauthorized access. B) To create measures that control potential threats to a system and protect it from intelligent and malicious adversaries. C) To design systems that prevent malfunctions caused by random errors and mistakes. D) To protect property and privacy using traditional methods such as locks and fences.,B
443,"What distributed platform should be used to enforce a consistent network security policy at all entry points to the internal network, including the remote VPN user connection? **Options:** A) Server-based firewalls B) Distributed firewalls C) Distributed desktop intrusion detection systems D) Personal firewalls",B
444,Where is the trust placed when using raw public key digital signatures for authentication? **Options:** A) In the administrator B) In the CA C) In the public key itself D) In the private key,C
445,"Which type of attack floods a network, rendering it inaccessible to its intended users? **Options:** A) Phishing attack B) Brute force attack C) Denial of service (DoS) attack D) Cross-site scripting",C
446,"What is the main reason why governments find it harder to censor information on the Internet compared to the past? **Options:** A) The technology now allows rapid dissemination of information, making it difficult for governments to control and suppress news events. B) The Internet is used by a small fraction of the population in authoritarian states, limiting the reach of uncensored information. C) The public opinion is now in thrall to media managers who control the flow of information online. D) The Internet provides multiple layers of defenses through perimeter defenses, application-level defenses, and social defenses.",A
447,Using pre-numbered forms to initiate a transaction is an example of what type of control? **Options:** A) Application control B) Detective control C) Deterrent control D) Preventative control,D
448,What type of key is used when the same key is used for the encryption and decryption of the data? **Options:** A) Diffie–Hellman key B) Asymmetrical key C) Symmetrical key D) RSA key,C
449,Which hashing algorithm generates a 160 bit hashing value? **Options:** A) HAVAL B) MD5 C) SHA D) Tiger,C
450,How does the challenge of dealing with centralized health databases relate to privacy protection in medical records? **Options:** A) It involves balancing the rights of individuals with centralized data management B) It necessitates setting up additional authorization processes for data access C) It requires implementing more advanced access controls for medical records D) It pertains to determining the level of centralized encryption for data protection,A
451,What is the main function of a public key in cryptography? **Options:** A) Deriving symmetric keys B) Encrypting messages C) Decrypting encrypted data D) Signing digital messages,B
452,Which protocol is used for accessing electronic mail or bulletin board data? **Options:** A) IMAP B) POP C) SMTP D) HTTP,A
453,What is the primary purpose of a hash in digital signatures and file authentication? **Options:** A) Encrypting and decrypting data B) Exchanging secret keys securely C) Protecting the integrity of data D) Implementing public key cryptography,C
454,What are the two types of wireless networks? **Options:** A) Star and ring B) Bus and hybrid C) Infrastructure and hybrid D) Infrastructure and ad hoc,D
455,"Which malware type requires the user to execute its code, but then can spread to other files or systems on its own? **Options:** A) Rootkit B) Virus C) Worm D) Trojan",B
456,Which of the following is NOT part of the CIA triad? **Options:** A) Integrity B) Utility C) Confidentiality D) Availability,B
457,Which type of attack exploits user interface weaknesses of both web and mobile clients to steal sensitive information including login credentials and credit card numbers from victims? **Options:** A) Phishing & Clickjacking B) SQL Injection C) XML External Entity (XXE) D) Cross-Site Scripting (XSS),A
458,What is the most effective solution to prevent excessive privilege and creeping privileges? **Options:** A) Increasing the number of end-user privileges B) Automating the user account maintenance process C) Regular user training D) Developing a principle of least privilege,D
459,What is a key encrypting key used for in key management? **Options:** A) Encrypting other keys B) Generating keys C) Encrypting data D) Controlling keys,A
460,What is the primary benefit of using a content-dependent access control mechanism in a database? **Options:** A) To prevent updates to the existing data B) To limit access to specific fields or cells based on their content C) To simplify database management procedures D) To restrict access based on the user's context,B
461,The secure path between a user and the Trusted Computing Base (TCB) is called: **Options:** A) Trusted distribution B) Trusted facility management C) The security perimeter D) Trusted path,D
462,How does the kernel or nucleus of the operating system relate to security? **Options:** A) It physically protects the hardware components of the server hosts B) It is a critical part of the operating system that makes the entire system run C) It provides visual user interfaces for end users to access the system D) It controls the transmission of data over the network,B
463,"Which technology can help organizations automatically cross-check data from a threat feed with logs tracking incoming and outgoing traffic? **Options:** A) Firewalls B) Intrusion Detection and Prevention Systems (IDPSs) C) Antimalware software D) Security Orchestration, Automation, and Response (SOAR) technologies",D
464,"What is the primary difference between computer forensics and network forensics? **Options:** A) Computer forensics analyzes data from the computer's disks, while network forensics retrieves data on network ports B) Computer forensics investigates incidents after they occur, while network forensics prevents incidents from happening C) Computer forensics hides evidence, while network forensics reveals it D) Computer forensics traces evidence from the source to the courtroom, while network forensics traces evidence within the network",A
465,"In public-key cryptography, what are the two distinct uses of public-key cryptosystems? **Options:** A) Key distribution and certificate management B) Symmetric encryption and decryption C) Data compression and decompression D) Encryption and decryption",A
466,What is the objective of configuring an 'access control system' to enforce permissions based on job classification and function? **Options:** A) To restrict all user access to system components. B) To provide unrestricted permissions for all users. C) To allow broad access to all system components. D) To enforce permissions assigned to individuals and systems.,D
467,Which approach prevents Cross-Site Scripting (XSS) attacks by randomizing HTML tags and attributes to distinguish between untrusted and trusted content? **Options:** A) Input Validation B) Database Encryption C) Randomization of HTML Elements D) Content Security Policy (CSP),C
468,"Which of the following is responsible for performing and testing backups, validating data integrity, deploying security solutions, and managing data storage based on classification? **Options:** A) Data Owner B) Senior Manager C) Security Professional D) Data Custodian",D
469,What is the main purpose of incident handling in an organization's network security plan? **Options:** A) To prevent all security incidents from occurring B) To minimize the loss from security incidents and recover from them C) To ensure no system interruptions occur D) To identify and hire new employees,B
470,"What is the primary objective of incident management within ITIL? **Options:** A) To control production configurations such as standardization, status monitoring, and asset identification B) To minimize disruption to the business by restoring service operations to agreed levels as quickly as possible C) To resolve the root cause of incidents to minimize the adverse impact of incidents and problems on the business D) To standardize and authorize the controlled implementation of IT changes",B
471,What is the primary purpose of a virtual private network (VPN)? **Options:** A) To conceal network topography from the Internet B) To provide sequentially reserved connections C) To establish secure communication tunnels over untrusted networks D) To hide the identity of internal clients,C
472,"Where does an ISMS live within an organization? **Options:** A) Only in data centers where sensitive information is stored B) In multiple places and instances based upon functional areas or information security domains C) Only in the board room, managed by executive staff D) Exclusively in service-oriented departments within the organization",B
473,What is a list of serial numbers of digital certificates that have not expired but should be considered invalid? **Options:** A) CRL B) KDC C) CA D) UDP,A
474,What is the primary purpose of the evidence retention phase in operational forensics? **Options:** A) To provide assistance in identifying unauthorized intrusions. B) To develop cost-effective investigative methods. C) To maintain maximum system availability. D) To preserve information that may be needed as evidence.,D
475,What is the best reason to implement a security policy? **Options:** A) It decreases security. B) It increases security. C) It removes the employee’s responsibility to make judgments. D) It makes security harder to enforce.,C
476,What is the concept of 'least privilege' in the context of cybersecurity? **Options:** A) Granting users unlimited access to all system resources B) Granting users the same level of access to all system resources C) Granting users the highest level of access to all system resources D) Granting users only the access rights that are necessary to perform their work,D
477,Which protocol is used for transferring files between systems and uses port 21 for communication by default? **Options:** A) SMTP B) SNMP C) HTTP D) FTP,D
478,How does the principle of data minimization apply to managing payment information in healthcare systems? **Options:** A) By minimizing the need for access controls to payment data B) By minimizing the amount of payment data retained after processing C) By minimizing the risk of statistical analysis of payment data D) By minimizing unauthorized access to payment data,B
479,Which of the following best describes TCSEC? **Options:** A) A criteria to validate the security and assurance provided in products B) A penetration testing method C) The red book D) European assurance evaluation criteria,A
480,What is the purpose of hashing in the cryptographic process? **Options:** A) To create a scrambled output that can be reversed B) To detect changes in information and validate its integrity C) To authenticate individuals and entities D) To ensure confidentiality of information,B
481,"Which type of malicious code is triggered by a specific occurrence, such as a specific time or date? **Options:** A) Polymorphic virus B) Trojan horse C) Worm D) Logic bomb",D
482,What is implemented from a server to configure a centrally managed multiple client computer’s browsers? **Options:** A) Proxy and content filter B) Advanced browser security C) Policies D) Temporary browser files,C
483,What is the purpose of establishing a Configuration Management Plan (CMP) and configuring the Configuration Control Board (CCB) in the CM process? **Options:** A) To correlate CM to the International Standards Organization (ISO) 9000 series of quality systems criteria B) To support the implementation of a new Configuration Management methodology C) To maintain control over the established work product configurations and ensure the human element functions properly D) To ensure all configuration items are maintained under strict configuration control,C
484,How can social engineering be mitigated? **Options:** A) Educating employees B) Using only technical controls C) Requiring physical security measures D) Ignoring human behavior,A
485,What were some of the primary objectives of the early Internet that did not prioritize commerce and security? **Options:** A) Providing a means for computers from different manufacturers and different networks to talk to one another B) Providing a vast communication medium to share electronic information C) Creating a multiple-path network that could survive localized outages D) All of the above,D
486,What is the main limitation of the one-time pad encryption scheme? **Options:** A) It is computationally intensive B) It provides computational security only C) The key length must be as long as the message and can only be used once D) It is vulnerable to brute force attacks,C
487,What is the term for the unauthorized access or use of information from a computer system? **Options:** A) Hacking B) Vulnerability C) Phishing D) Denial-of-service attack,A
488,"In an asymmetric instance authentication, what does the prover use to calculate a tag for a random value sent by the verifier? **Options:** A) Public key B) Symmetric key C) Hash function D) Private key",D
489,How is a covert channel exploited? **Options:** A) By following standard data transfer protocols. B) By creating and executing a process to transfer information through unintended paths. C) By using authorized means of communication. D) By explicitly designing the channel for information transfer.,B
490,Which type of system storage is the MOST volatile during forensic investigations? **Options:** A) Virtual memory B) RAM C) Hard drive D) CPU cache,D
491,What is the main purpose of cryptography in data communication? **Options:** A) To authenticate the sender and receiver B) All provided answers C) To ensure data integrity and confidentiality D) To provide nonrepudiation,B
492,At which protocol layer does the Berkeley Packet Filter operate? **Options:** A) Protocol B) Transport C) Data Link D) Internetwork,C
493,Principle of need to know and the least privilege principle are part of what fundamental security concept? **Options:** A) Confidentiality B) Integrity C) Availability D) Authentication,A
494,What is the most complex and challenging task related to Security Information Management (SIM) implementation? **Options:** A) Network segmentation B) Vulnerability assessment C) Access control configuration D) Event filtering,D
495,What does the Object-Oriented Security Model (OOSM) focus on? **Options:** A) Supporting control of all direct access to objects in the system B) Encryption of data during transmission C) Access control at the user interface level D) Providing physical access control to computer equipment,A
496,Which technique involves reducing the radar cross-section of a vehicle so that it can be detected only at very much shorter range? **Options:** A) Stealth B) Burst Communications C) Terrain Bounce D) Chaff,A
497,"Why should a Windows workstation be shut down when not in use, if possible? **Options:** A) To avoid software conflicts and system errors. B) To reduce the risk of physical theft of the workstation. C) To disconnect from the Internet and prevent unauthorized access. D) To conserve energy and reduce electricity consumption.",C
498,What is a possible result of an attacker gaining access to a limited user account with impersonation privileges? **Options:** A) Physical damage to the host machine B) High system performance C) Increase in virtual memory allocation D) System compromise,D
499,What is one main function that determines a password's strength? **Options:** A) Expiration period B) Length and complexity combined C) Complexity only D) Length only,B
500,What type of protection is provided by real-time scanning in antivirus software? **Options:** A) Protection from file deletion or modification B) Protection from unauthorized network access C) Protection against phishing attacks D) Protection against malware when executing processes,D
501,What should the investigative team assess before executing the plan for a computer crime? **Options:** A) All provided answers B) If the computer is active C) If the system is proctected by any security system D) Whether the suspect is near the system,A
502,"What are the three address types used in IPv6? **Options:** A) Unicast, Anycast, Multicast B) Public, Private, Loopback C) Host, Network, Gateway D) Dynamic, Static, Virtual",A
503,What should be the focus when designing security components in the Design stage? **Options:** A) Focus on the overall capability and the associated risk factors B) Avoid security for security’s sake C) All provided answers D) Favor mature and proven security technologies,C
504,Dave is developing a key escrow system that requires multiple people to retrieve a key but does not depend on every participant being present. What type of technique is he using? **Options:** A) M of N B) Work function C) Control D) Split knowledge,A
505,What role does enrollment of users play in controlling access and usage in an Instant Messaging system? **Options:** A) Ensuring that the passphrase used for authentication is forgery-resistant B) Limiting the access to directory entries of the enrolled users C) Validating multiple users from outside the system D) Ensuring that the system permits automatic log-on and connectivity without time-outs,B
506,Which of the following is an important aspect of cybersecurity risk management? **Options:** A) Ignoring potential risks B) Sharing sensitive data openly C) Regular risk assessments D) Overlooking compliance regulations,C
507,What does the term 'Safeguard Effectiveness' represent in the context of Information Risk Management? **Options:** A) The measure of the magnitude of loss or impact on the value of an asset B) The degree to which a safeguard may be characterized as effectively mitigating a vulnerability C) The frequency with which a threat is expected to occur annually D) The potential for harm or loss,B
508,Which term best describes a system composed of simple processing elements and weighted connections between them? **Options:** A) Connected Computation Graphs B) Neural networks C) Weighted Matrices D) All of the above,B
509,What is the term for the shared resources in cloud environments? **Options:** A) Virtualization B) Broad network access C) Resource pooling D) Multi-tenancy,C
510,What is the characteristic of a botnet? **Options:** A) It uses infected computers to send out large volumes of spam or viruses B) It secures the network against intrusion attempts C) It operates as an independent entity outside of the network D) It only consists of centrally controlled computers,A
511,What does near-field communication commonly refer to in the context of wireless communication? **Options:** A) Communication for satellite navigation systems B) Communication within large networks C) Communication between two smartphones D) Communication between distant devices,C
512,What is the primary function of a network-based IDS (NIDS)? **Options:** A) To watch traffic coming into and leaving the network B) To manage DHCP servers and IP address leases C) To analyze the subnet local to you D) To monitor traffic on individual hosts,A
513,What is the main concern surrounding the surveillance of Instant Messaging by management? **Options:** A) Pervasive or routine surveillance may stifle the use of IM and diminish its value B) Ensuring that disciplined behavior among users is maintained within IM discussions C) The potential for offensive content and risks of fraud being perpetuated through IM D) Automated surveillance records become a target of attack and may leak information,A
514,Which term is used to describe the unauthorized disclosure of information? **Options:** A) Availability B) Authentication C) Confidentiality D) Integrity,C
515,Which of the following is a primary security concern associated with the use of help systems in application systems? **Options:** A) Introducing system vulnerabilities B) Potential exposure of sensitive information C) Overloading application resources D) Incompatibility with network protocols,B
516,What is the purpose of the Cross-Origin Resource Sharing (CORS) protocol in web applications? **Options:** A) To enforce access control policies based on attributes rather than identities. B) To establish secure connections for exchanging cryptographic keys between servers. C) To facilitate secure transmission of access requests and policies between nodes. D) To prevent unauthorized access to resources outside the origin of a web page.,D
517,What is the primary goal of an effective security awareness program? **Options:** A) To monitor compliance of employees with the security program B) To enforce strict adherence to policies and procedures C) To reduce losses associated with intentional or accidental information disclosure D) To make the message important to employees,C
518,"In the Williams Quadratic Encipherment, if J(2x + 1/N) = 1, what action is taken when x is odd? **Options:** A) x is replaced by 4(2x+1) modulo N B) x is multiplied by 2 modulo N C) x is squared modulo N D) x is unchanged",A
519,Which characteristic differentiates active sniffing from passive sniffing in a switched network environment? **Options:** A) Active sniffing works without requiring specific permissions on the network B) Active sniffing is dependent on broadcast and multicast frames C) Active sniffing requires manipulating devices to send all traffic to the sniffer D) Active sniffing is less invasive and easier to implement than passive sniffing,C
520,"What does an asset value primarily compose of? **Options:** A) Only the initial and on-going financial costs to the organization. B) Fitness for purpose and ease of communication. C) Level of Manual Operations and Auditability and Accountability Features. D) The asset's value to the organization’s production operations, research and development, and business model viability.",D
521,"What are the goals of the Configuration Management Plan (CMP) and the Configuration Control Board (CCB) as 'tools' in the CM process? **Options:** A) To coordinate with suppliers for the development of automated Configuration Management tools B) To establish well-thought-out plans and the capability for additions and changes, but only when completely implemented to provide appropriate assurances C) To evaluate and approve any potential new tool to be used for CM D) To pursue the attainment of a CMII Certification for automated tools",B
522,What standard is commonly referred to as the most widely used wireless LAN specification standard? **Options:** A) IEEE 802.15 B) IEEE 802.3 C) Bluetooth D) IEEE 802.11,D
523,Which of the following is often a disadvantage of using a closed system? **Options:** A) Lack of end user support. B) The source code is provided by the Internet community at large. C) The source code cannot be verified. D) Lack of product functionality.,C
524,What is the primary purpose of a data warehouse or data mart? **Options:** A) To replace operational databases B) To support business goals and decisions C) To serve as a backup for main databases D) To store raw data without transformation,B
525,Which element is not necessary to establish subject accountability? **Options:** A) Identification verification B) Privacy C) Authorization D) Logging,B
526,What is an example of a fundamental cybersecurity risk related to wireless access and remote network connectivity? **Options:** A) Physical theft of devices B) Phishing attacks through email C) Eavesdropping on wireless communications D) Social engineering attacks,C
527,Which DoS attack sends large amounts of ICMP Echo traffic to a broadcast IP address with a spoofed source address of a victim? **Options:** A) SYN flood attack B) Ping of Death C) Smurf attack D) Botnet attack,C
528,You identify a security risk that you do not have in-house skills to address. You decide to procure contract resources to mitigate this security risk. Which type of risk response strategy are you demonstrating? **Options:** A) Mitigation B) Transference C) Acceptance D) Avoidance,B
529,What is one of the main challenges in providing transparent access for remote employees accessing the internal network? **Options:** A) Keeping detailed logs of system utilization B) Policies that are difficult to implement C) Predicting individual work habits and network usage D) Ensuring all users have the same level of access,C
530,What is the primary responsibility of the SSH Transport Layer Protocol during the key exchange phase? **Options:** A) Exchanging client and server keys / client authentication B) Establishing a TCP connection / client authentication C) Encrypting the communication / Exchanging client and server keys D) All provided answer,A
531,What is the primary purpose of a low-interaction honeypot? **Options:** A) To provide detailed information on the steps involved in exploitation and post-compromise activity. B) To lure attackers and malicious code without being compromised. C) To emulate services and vulnerabilities to attract inbound exploit attempts from attackers. D) To capture the full extent of post-compromise activity for analysis.,C
532,"If you were to see the following in a packet capture, what would you think was happening? <!ENTITY xxe SYSTEM 'file:///etc/passwd'>]]> **Options:** A) Command injection B) XML external entity injection C) Cross‐site scripting D) SQL injection",B
533,At what level of Evaluation Assurance Level (EAL) is extensive formal analysis applied to security TOE? **Options:** A) EAL6 B) EAL3 C) EAL1 D) EAL7,D
534,Why are covert channels a concern in multilevel secure systems? **Options:** A) They allow unauthorized access to sensitive information B) They pose a risk of software tampering C) They can be used to communicate information across security levels D) They create performance bottlenecks in the system,C
535,Which of the following features ensures that information that flows between end users and security servers is not intercepted through spying or eavesdropping? **Options:** A) Access Control B) Encryption C) Application Control D) Authentication,B
536,What does IPsec stand for? **Options:** A) Internet Protocol Security B) Internet Protocol Service C) Internet Privacy and Security D) Internet Protocol Standard,A
537,What is the primary purpose of conducting regular cybersecurity training and awareness programs? **Options:** A) To reduce employee productivity B) To educate users about potential security risks C) To increase the complexity of security measures D) To introduce new software,B
538,What is used to refer to a program that is set up to run in a quiescent state but to activate its payload under specific conditions? **Options:** A) Macro Virus B) Hoax C) DDoS Zombie D) Logic Bomb,D
539,"What is an effective measure for obtaining fault tolerance with leased lines or connections to carrier networks? **Options:** A) Deploying a single redundant connection with two different service providers. B) Purchasing connections from two different telcos or service providers, ensuring they connect to the same regional backbone. C) Ensuring that all communication lines from the building are centrally located to prevent single points of failure. D) Considering a nondedicated connection to provide partial availability in the event of a primary leased line failure.",B
540,What is the primary goal of security patches in the context of cybersecurity? **Options:** A) To fix known security vulnerabilities and protect against potential exploits. B) To improve the performance of the network infrastructure. C) To introduce new security vulnerabilities for testing purposes. D) To upgrade hardware components to enhance security.,A
541,"Which term refers to the act of a user professing an identity to the system, such as a logon ID? **Options:** A) Identification B) Accountability C) Authentication D) Authorization",A
542,What is the purpose of MAC Flooding in the context of network sniffing? **Options:** A) To cause the switch to malfunction and send all messages to all ports B) To generate fake MAC addresses for unauthorized access C) To flood the switch with random MAC addresses D) To send excessive traffic to the switch to overload it,A
543,"Which information security service verifies the claimed identity of an individual, workstation, or process? **Options:** A) Authentication B) Accountability C) Assurance D) Authorization",A
544,What does a full-open scan do during a port scan? **Options:** A) Attempts to establish a full connection with the target port B) Sends a packet with the FIN flag set to determine if a port is open C) Sends a packet with the SYN flag set to determine if a port is open D) Sends a packet with the ACK flag set to determine if a port is open,A
545,Which standard is used to describe how to call a Web service and where to find the service? **Options:** A) SAML B) WSDL C) WS-Security D) UDDI,B
546,What does the term 'forensics' refer to in the context of information security? **Options:** A) Monitoring network traffic for security threats B) Implementation of secure coding practices C) Investigation of data breaches and security incidents D) Analysis of security logs and audit trails,C
547,Which one of the following tools can be used to launch a distributed denial of service attack against a system or network? **Options:** A) Trinoo B) Satan C) Nmap D) Saint,A
548,"What is the protocol used for remote authentication and related services, such as event logging, in a network environment? **Options:** A) Secure Socket Layer B) Uniform Resource Locator C) Synchronous Optical NETwork D) Remote Authentication Dial-In User Service",D
549,How does HTTP serve as a potential protocol for tunneling data? **Options:** A) By allowing a large area for payload content within the request and reply messages. B) By using strong encryption that makes it difficult to inspect the payload content. C) By providing strict access control and limited space for payload content. D) By limiting the types of data that can be transmitted through the protocol.,A
550,"In asymmetric key cryptography, what is the relationship between the encrypting and decrypting keys? **Options:** A) They have no mathematical relationship B) They have a fixed mathematical relationship C) They have the same value and are interchangeable D) They have a variable mathematical relationship",B
551,When should the emergency response instructions and checklists be arranged in order of priority? **Options:** A) In reverse order of priority B) With the least important task first C) With the most important task first D) Based on the preferences of the first responders,C
552,"In the context of cybersecurity, what is the primary purpose of a smart card? **Options:** A) To contain an embedded chip for secure identification and authentication B) To protect against DoS attacks C) To provide authentication for network access D) To store sensitive information and personal data",A
553,Which method involves enumerating through all possible keys until the proper key is found to decrypt a given cipher text? **Options:** A) Decryption B) Frequency analysis C) Brute-force attack D) Cryptanalysis,C
554,What is the purpose of a security audit in cybersecurity? **Options:** A) To validate compliance with industry regulations and security policies B) To assess the performance of network hardware C) To enhance system speed and efficiency D) To manage software licenses,A
555,Which algorithm is known for its compact design and reduced computational power requirement? **Options:** A) Diffie-Hellman B) Elliptic Curve C) RSA D) RC4,B
556,Which type of vulnerability is identified when the application fails to check the user's permission during a session? **Options:** A) TOCTTOU B) Buffer overflow C) SQL injection D) Backdoor,A
557,What is the primary purpose of access controls in a security infrastructure? **Options:** A) To encrypt all sensitive data in the network B) To manage system backups and recovery processes C) To supervise and monitor employee activities D) To authenticate users and confirm their identities,D
558,Which encryption algorithm operates on a block of data rather than each character? **Options:** A) Triple DES B) RSA C) RC4 D) None of the above,A
559,"The termination of selected, non-critical processing when a hardware or software failure occurs and is detect. **Options:** A) Capable of detecting and correcting the fault B) Capable of terminating operations in a safe mode C) Capable of only detecting the fault D) Capable of a cold start",B
560,"What is the purpose of monitoring in cybersecurity? **Options:** A) To ensure compliance with regulations. B) To review the patterns and trends of data rather than the actual content. C) To inform would-be intruders or those who attempt to violate the security policy that their intended activities are restricted and will be audited and monitored. D) To detect abnormalities, unauthorized occurrences, or outright crimes.",D
561,What is the main advantage of an operational forensics program? **Options:** A) Developing cost-effective investigative methods. B) Quickly restoring system operations without losing crucial information. C) Reconstructing data after an intrusion. D) Resolving system malfunctions without proper investigation.,B
562,"What tasks fall under the category of 'risky' user behavior on a Windows workstation? **Options:** A) Document writing, photo processing, and Web site maintenance. B) Simple gaming, e-mail and instant messaging, and finance management. C) E-mail, Web browsing, and multimedia activities. D) Web browsing with frequent downloads, IRC chat, multimedia experiments, and risky game downloads.",D
563,Which principle suggests that security controls should rely on well-specified secrets and not on secrecy about how they operate? **Options:** A) Economy of mechanism B) Fail-safe defaults C) Open design D) Complete mediation,C
564,Which steganography technique involves inserting blocks of data into a host file at consistent locations? **Options:** A) Pattern-based steganography B) Grammar-based steganography C) Insertion-based steganography D) Algorithmic-based steganography,C
565,What is the process of disguising a message to prevent unauthorized access or use? **Options:** A) Firewalling B) Authentication C) Access control D) Encryption,D
566,An SYN attack uses which protocol? **Options:** A) UDP B) TCP C) Telnet D) HTTP,B
567,What should be done to restrict information provided in headers and error messages from web servers? **Options:** A) Displaying server version numbers B) Enabling directory listings C) Restricting information provided D) Using appropriate access control,C
568,What kind of attack uses targeted phishing to lure activists and companies into installing malware that is later used to spy on them? **Options:** A) Espionage B) Ransomware C) Disinformation D) Data leaks,A
569,What network technology makes sniffing harder for attackers? **Options:** A) Mail servers B) Switches C) Hubs D) DHCP,B
570,What is the primary control technology used to limit what devices can connect to a network? **Options:** A) Network access control (NAC) B) Intrusion prevention system (IPS) C) Firewall D) Virtual private network (VPN),A
571,Which one of the following encryption algorithm modes suffers from the undesirable characteristic of errors propagating between blocks? **Options:** A) Electronic Code Book B) Output Feedback C) Counter D) Cipher Block Chaining,D
572,What potential countermeasure can be implemented to mitigate NFC vulnerabilities? **Options:** A) Shield the NFC devices B) Enhance the protocol with two-factor authentication C) None of the above D) Both A and B are correct,D
573,Which approach is used by the IBM KryptoKnight SSO system to securely transmit secret keys? **Options:** A) Hybrid cryptography B) RSA encryption C) Public key cryptography D) Symmetric key cryptography,C
574,Which type of encryption technology is used with the BitLocker application? **Options:** A) Symmetric B) WPA2 C) Asymmetric D) Hashing,A
575,In which stage of an ethical hack would the attacker actively apply tools and techniques to gather more in-depth information on the targets? **Options:** A) Passive reconnaissance B) Gaining access C) Active reconnaissance D) Scanning and enumeration,D
576,What is the purpose of encryption? **Options:** A) To increase network speed B) To improve user experience C) To prevent unauthorized access to data D) To identify network vulnerabilities,C
577,What is the term for the percentage of loss that a realized threat event would have on a specific asset in Risk Analysis? **Options:** A) Single Loss Expectancy (SLE) B) Annualized Loss Expectancy (ALE) C) Exposure Factor (EF) D) Annualized Rate of Occurrence (ARO),C
578,What is the purpose of Network File System (NFS) in storage networking? **Options:** A) To secure sensitive data on removable media B) To ensure physical environment security C) To allow file systems to be accessed by other computers in the network D) To prevent hardware failure,C
579,What is the primary mechanism used by rootkits to avoid detection? **Options:** A) Encryption of malicious actions to prevent detection. B) Causing system crashes to distract administrators from discovering the rootkit. C) Self-replication to avoid being easily identified. D) Stealth techniques to hide all indications of the attacker's presence on victim systems.,D
580,What security mechanism is designed to prevent unauthorized data access and protect the integrity of processes? **Options:** A) Firewall B) Encryption C) Virtualization D) Process isolation,D
581,What mitigation technique in modern processors marks certain areas of memory as nonexecutable to prevent buffer overflow attacks? **Options:** A) Stack cookies B) Address space layout randomization (ASLR) C) Antivirus protection D) Data execution prevention (DEP),D
582,What is the purpose of risk management in information security? **Options:** A) To implement avoidance strategies for preventing security breaches. B) To assess and address risks in dynamic computing environments. C) To predict the frequency and magnitude of security incidents. D) To protect against theoretical security threats.,B
583,What do most VPNs use to protect transmitted data? **Options:** A) Encryption B) Obscurity C) Transmission logging D) Encapsulation,A
584,Which type of fire might a CO2-based fire extinguishing system be most suitable for? **Options:** A) Electrical fires B) Class B fires C) Class A fires D) Combustible metals fire,A
585,Which of these is an example of an application layer gateway? **Options:** A) Runtime application firewall B) Next‐generation firewall C) Email filtering device D) Web application firewall,D
586,Which of the following is NOT considered an authentication factor? **Options:** A) Fingerprint scan B) Username and password C) Log files and audit trail D) Smartcard and PIN,C
587,"In switching, decisions about forwarding messages are made based on the: **Options:** A) Hostname B) Physical address C) Port number D) IP address",B
588,What is the purpose of the procurement and contracts policy in information security management? **Options:** A) To ensure consistent security controls with third parties B) To address employee privacy rights C) To establish the process of outsourcing security controls D) To dictate the frequency of vulnerability assessments,A
589,What tool can be used to establish a connection to a remote host by an attacker? **Options:** A) Netcat B) PsExec C) Pwdump D) Winrtgen,A
590,"What are the three main goals of cryptography? **Options:** A) Authentication, access control, and authorization B) Confidentiality, integrity, and non-repudiation C) Availability, encryption, and confidentiality D) Integrity, encryption, and authentication",B
